link_id,from_node_id,to_node_id,time_period,volume,CA,CD,density,queue,travel_time,waiting_time_in_sec,speed,notes
2,3,4,0817:00_0818:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0818:00_0819:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0819:00_0820:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0820:00_0821:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0821:00_0822:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0822:00_0823:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0823:00_0824:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0824:00_0825:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0825:00_0826:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0826:00_0827:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0827:00_0828:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0828:00_0829:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0829:00_0830:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0830:00_0831:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0831:00_0832:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0832:00_0833:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0833:00_0834:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0834:00_0835:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0835:00_0836:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0836:00_0837:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0837:00_0838:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0838:00_0839:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0839:00_0840:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0840:00_0841:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0841:00_0842:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0842:00_0843:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0843:00_0844:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0844:00_0845:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0845:00_0846:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0846:00_0847:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0847:00_0848:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0848:00_0849:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0849:00_0850:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0850:00_0851:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0851:00_0852:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0852:00_0853:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0853:00_0854:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0854:00_0855:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0855:00_0856:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0856:00_0857:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0857:00_0858:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0858:00_0859:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
2,3,4,0859:00_0900:00,0.000,2000.000,2000.000,0.000,0.000,1.000,0.000,60.000,simulation-based
3,4,5,0700:00_0701:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
3,4,5,0701:00_0702:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
3,4,5,0702:00_0703:00,0.000,0.000,0.000,0.000,0.000,1.000,0.000,60.000,simulation-based
3,4,5,0703:00_0704:00,0.000,1.000,0.000,0.333,0.000,1.000,0.000,60.000,simulation-based
3,4,5,0704:00_0705:00,1.000,34.000,1.000,11.000,0.000,1.000,0.000,60.000,simulation-based
3,4,5,0705:00_0706:00,33.000,68.000,34.000,11.333,0.000,1.000,0.000,60.000,simulation-based
