link_id,from_node_id,to_node_id,Date,FT,AT,period,vol_period,vol_period_hourly,speed_period,density_period,t0,t3,Demand,avg_discharge_rate,peak_factor,congestion_period,rho,waiting_time
13288AB,14172,29612,1/1/2018,6,2,0600_0900,1667.0,555.6666666666666,34.141666666666666,16.522069936317724,0,0,687.0,346.0,2.4264919941775838,0.25,3554.7841443051543,0.004459176481596663
13288BA,29612,14172,1/1/2018,6,2,0600_0900,939.5,313.1666666666667,33.31250000000001,9.458735746587275,0,0,340.5,116.0,2.7591776798825256,0.25,1378.0652706042895,0.0051561948882164815
13430AB,14168,14239,1/1/2018,6,2,0600_0900,1211.5,403.8333333333333,29.937499999999996,13.631798901742002,0,0,471.5,202.0,2.569459172852598,0.25,3957.6889063759045,0.00850369762955494
13430BA,14239,14168,1/1/2018,6,2,0600_0900,813.5,271.1666666666667,31.32083333333333,8.92318053733299,0,0,325.0,124.0,2.503076923076923,0.25,2067.6951078026354,0.007237396070657746
13439AB,14166,14156,1/1/2018,6,2,0600_0900,1223.0,407.6666666666667,31.641666666666666,12.99088007224325,0,0,457.5,162.0,2.673224043715847,0.25,2527.1188614071875,0.006770615948128825
13439BA,14156,14166,1/1/2018,6,2,0600_0900,1586.5,528.8333333333334,32.2875,16.51184516074398,0,0,374.0,208.0,4.241978609625669,0.25,3112.0311787243795,0.006493788350369715
13445AB,14315,14316,1/1/2018,6,2,0600_0900,2693.0,897.6666666666666,32.3375,28.01093253114321,0,0,915.0,496.0,2.943169398907104,0.25,6883.7839355653805,0.00602369646019316
13445BA,14316,14315,1/1/2018,6,2,0600_0900,1083.0,361.0,32.3375,11.21024500184903,0,0,452.5,166.0,2.393370165745856,0.25,2303.847042951317,0.00602369646019316
13446AB,14103,14133,1/1/2018,6,2,0600_0900,916.0,305.3333333333333,32.95,9.3154005109892,0,0,157.5,102.0,5.815873015873016,0.25,1303.735678040762,0.005547622540682709
13446BA,14133,14103,1/1/2018,6,2,0600_0900,1572.5,524.1666666666666,28.59583333333333,18.99754093109671,0,0,641.5,172.0,2.4512860483242402,0.25,4275.689302333208,0.01078934840906918
13447AB,14312,14317,1/1/2018,6,2,0600_0900,2916.5,972.1666666666666,30.929166666666664,32.0127166080954,0,0,1003.5,624.0,2.9063278525161933,0.25,10885.340030236968,0.007571378114870578
13447BA,14317,14312,1/1/2018,6,2,0600_0900,1214.0,404.6666666666667,36.00416666666667,11.329231739846717,0,0,341.5,168.0,3.554904831625183,0.25,1122.7803490781987,0.002900701546684334
13527AB,14173,14353,1/1/2018,6,2,0600_0900,959.0,319.6666666666667,30.774999999999995,10.397874901635452,0,0,213.0,144.0,4.502347417840376,0.25,2534.8788587706226,0.007640332208389464
13527BA,14353,14173,1/1/2018,6,2,0600_0900,1369.0,456.3333333333333,31.11666666666667,14.810026854498071,0,0,546.0,198.0,2.5073260073260073,0.25,3295.8090742794834,0.007224609537825046
13611AB,29829,14414,1/1/2018,6,2,0600_0900,1058.0,352.6666666666667,30.524999999999995,11.970779616759707,0,0,479.0,134.0,2.208768267223382,0.25,2509.489209392075,0.00812826884261011
13611BA,14414,29829,1/1/2018,6,2,0600_0900,504.5,168.16666666666666,29.620833333333334,5.822259031501851,0,0,142.5,60.0,3.5403508771929824,0.25,1276.4020078218687,0.009233232116766988
13681AB,14473,29722,1/1/2018,6,2,0600_0900,825.5,275.1666666666667,23.86666666666667,12.110011309029737,0,0,309.0,108.0,2.6715210355987056,0.25,4438.476894346102,0.017837243177509735
13681BA,29722,14473,1/1/2018,6,2,0600_0900,1674.0,558.0,25.854166666666668,22.334062392305594,0,0,704.0,250.0,2.377840909090909,0.25,8192.444435597925,0.014222993811801954
13684AB,14461,14484,1/1/2018,6,2,0600_0900,1489.5,496.5,25.870833333333337,20.80394734181454,0,0,644.5,156.0,2.3110938712179983,0.25,5415.212586384144,0.015066363365785656
13684BA,14484,14461,1/1/2018,6,2,0600_0900,780.5,260.1666666666667,28.129166666666666,9.335318973378081,0,0,261.0,116.0,2.9904214559386975,0.25,2939.8910452194323,0.010999951528149816
13738AB,14415,14463,1/1/2018,6,2,0600_0900,1294.0,431.3333333333333,29.929166666666664,14.877965400911727,0,0,538.5,188.0,2.40297121634169,0.25,3786.9422079200376,0.008742755909980878
13738BA,14463,14415,1/1/2018,6,2,0600_0900,778.5,259.5,28.654166666666665,9.254895759278797,0,0,311.5,136.0,2.4991974317817016,0.25,3194.2368411318507,0.010194025866561514
13746AB,14389,14451,1/1/2018,6,2,0600_0900,966.5,322.1666666666667,29.0125,11.698698653904493,0,0,381.0,100.0,2.536745406824147,0.25,2317.5899822274037,0.010058984297861994
13746BA,14451,14389,1/1/2018,6,2,0600_0900,1968.0,656.0,24.941666666666674,27.504407340954998,0,0,799.0,296.0,2.4630788485607007,0.25,10911.501020178339,0.01599964371624311
13789AB,14387,14516,1/1/2018,6,2,0600_0900,756.0,252.0,26.450000000000003,9.61710155739116,0,0,313.5,106.0,2.411483253588517,0.25,3175.2661215265107,0.013001449986596365
13789BA,14516,14387,1/1/2018,6,2,0600_0900,2331.5,777.1666666666666,24.6375,34.200269805269784,0,0,1007.0,250.0,2.3152929493545185,0.25,9739.034161137135,0.016908045418640865
14053AB,29804,29802,1/1/2018,6,2,0600_0900,573.0,191.0,21.758333333333336,9.053975741338625,6,7,223.5,257.0,2.563758389261745,0.5,1599.5131499297538,0.021610370054174145
14053BA,29802,29804,1/1/2018,6,2,0600_0900,1241.0,413.6666666666667,23.299999999999997,18.183725366554675,0,0,475.5,138.0,2.609884332281809,0.25,5825.382906263752,0.018321579692103688
14087AB,14399,14665,1/1/2018,6,2,0600_0900,971.0,323.6666666666667,20.266666666666666,16.96224261215214,6,6,377.0,450.0,2.575596816976127,0.25,26799.008286345717,0.025847808918157522
14087BA,14665,14399,1/1/2018,6,2,0600_0900,1027.0,342.3333333333333,21.65416666666667,16.554377717125558,11,11,290.5,440.0,3.5352839931153186,0.25,22725.700603776422,0.022417239389773146
14113AB,13979,14690,1/1/2018,6,2,0600_0900,1648.0,549.3333333333334,26.754166666666663,21.030283736644318,0,0,512.0,272.0,3.21875,0.25,8084.340233253092,0.012900103772935005
14113BA,14690,13979,1/1/2018,6,2,0600_0900,527.5,175.83333333333334,32.42916666666667,5.577723159641906,0,0,170.0,118.0,3.1029411764705883,0.25,1682.8632815287704,0.006189910257506366
14194AB,14721,13978,1/1/2018,6,2,0600_0900,2419.5,806.5,26.575000000000003,32.190915229061616,0,0,1009.5,414.0,2.3967310549777117,0.25,12895.85068576687,0.01351970390265079
14194BA,13978,14721,1/1/2018,6,2,0600_0900,917.5,305.8333333333333,25.816666666666666,12.058604388898774,0,0,279.5,186.0,3.282647584973166,0.25,6010.518520214681,0.014025440842048148
14308AB,14392,29885,1/1/2018,6,2,0600_0900,1019.5,339.8333333333333,27.29166666666666,12.53430097543375,0,0,325.5,166.0,3.1321044546851,0.25,4576.38252039249,0.011965524913174807
14308BA,29885,14392,1/1/2018,6,2,0600_0900,1137.0,379.0,28.012500000000003,13.875050180708087,0,0,464.0,182.0,2.4504310344827585,0.25,4658.297392788531,0.011108958602307815
14321AB,14785,14783,1/1/2018,6,2,0600_0900,614.5,204.83333333333334,28.624999999999996,7.375181440274477,0,0,273.0,112.0,2.250915750915751,0.25,2711.4296982960905,0.010507462558501096
14321BA,14783,14785,1/1/2018,6,2,0600_0900,478.5,159.5,28.624999999999996,5.774886938426154,0,0,205.0,86.0,2.3341463414634145,0.25,2081.990661191641,0.010507462558501096
14334AB,14115,14679,1/1/2018,6,2,0600_0900,1722.0,574.0,28.724999999999998,20.090037682540352,0,0,643.5,390.0,2.675990675990676,0.25,8957.27124219559,0.009968473159494735
14334BA,14679,14115,1/1/2018,6,2,0600_0900,900.0,300.0,29.79166666666666,10.170693204426899,0,0,365.5,178.0,2.462380300957592,0.25,3641.9885803662437,0.008880473091170812
14348AB,14795,9298,1/1/2018,6,2,0600_0900,738.5,246.16666666666666,29.162500000000005,8.339245173072618,0,0,139.5,102.0,5.293906810035843,0.25,2231.1321943110233,0.00949385635514971
